epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,98.9448,1.96886,2.87707,1.82714,0.3887,0.38401,0.33174,0.14077,1.91895,2.95839,1.71845,0.00993151,0.0033105,0.00993151,0.0033105,0.0768265,0.0702055,0.00993151,0.0033105
2,164.93,1.85598,2.06705,1.65577,0.35382,0.32632,0.27206,0.11015,2.00193,3.29772,1.84761,0.0195369,0.00651229,0.0195369,0.00651229,0.0530985,0.0400739,0.0195369,0.00651229
3,223,1.94187,2.24226,1.75505,0.09043,0.18232,0.04775,0.01422,2.62959,6.54696,2.59968,0.0287462,0.00958207,0.0287462,0.00958207,0.0289745,0.00981038,0.0287462,0.00958207
4,280.344,2.04287,2.34618,1.88862,0.06627,0.0606,0.02109,0.00779,3.04249,5.13236,2.98544,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,338.112,1.97049,2.25515,1.85134,0.21425,0.23806,0.11753,0.03756,2.55551,3.87668,2.56757,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,395.763,1.90693,2.12102,1.79494,0.45469,0.4338,0.38644,0.15676,1.84759,2.45788,1.87715,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,453.283,1.84092,2.02948,1.76668,0.40653,0.33276,0.30919,0.12069,2.10296,2.43678,2.05699,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,511.023,1.79619,1.92903,1.71623,0.44671,0.42546,0.39398,0.16742,1.88022,2.73129,1.8376,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,569.014,1.78994,1.88796,1.70083,0.52765,0.556,0.55553,0.2565,1.70684,1.69501,1.73213,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,626.822,1.74609,1.81405,1.674,0.53783,0.57385,0.57654,0.26685,1.63735,1.77593,1.68871,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,684.774,1.72172,1.75871,1.64095,0.54513,0.52778,0.53019,0.2259,1.7928,1.7848,1.71257,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,742.123,1.69862,1.72861,1.63584,0.62921,0.60065,0.6334,0.30269,1.61274,1.55893,1.61306,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,799.874,1.66748,1.65977,1.61477,0.66339,0.64424,0.68401,0.32625,1.61083,1.39832,1.61174,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,857.474,1.6461,1.62,1.59059,0.57713,0.54154,0.54244,0.25892,1.7663,1.72363,1.7422,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,915.25,1.62379,1.57635,1.57593,0.64296,0.62262,0.64501,0.3125,1.59056,1.55262,1.59215,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,972.964,1.60737,1.53942,1.56125,0.67406,0.7023,0.74263,0.37397,1.56816,1.3328,1.59132,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1030.53,1.59206,1.53141,1.55581,0.65621,0.67849,0.70107,0.33788,1.64043,1.55641,1.64599,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1087.99,1.57361,1.49904,1.54445,0.71197,0.6941,0.75074,0.38332,1.51968,1.35177,1.55997,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1145.37,1.55632,1.45831,1.53111,0.69649,0.69345,0.76245,0.39812,1.53377,1.21867,1.5628,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,1202.72,1.54712,1.44809,1.52332,0.67699,0.71879,0.74622,0.38447,1.53088,1.25915,1.55459,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,1260.19,1.53213,1.38766,1.50579,0.70221,0.68244,0.73357,0.3766,1.5559,1.29712,1.57169,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,1317.63,1.50293,1.36507,1.4853,0.68763,0.71052,0.73295,0.38262,1.51931,1.30305,1.5371,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,1375.32,1.49691,1.35063,1.48292,0.74608,0.76674,0.82533,0.44422,1.45804,1.12342,1.49616,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,1432.83,1.48185,1.33492,1.47539,0.72886,0.77627,0.81248,0.4289,1.50097,1.18907,1.53457,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,1490.36,1.46497,1.30057,1.46111,0.68604,0.7262,0.76141,0.39935,1.50908,1.2152,1.5152,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,1548.02,1.44495,1.25546,1.44641,0.74331,0.75471,0.81126,0.44338,1.43689,1.09436,1.48659,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,1605.27,1.43311,1.25859,1.43368,0.77035,0.77118,0.82664,0.44292,1.44915,1.09676,1.49765,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,1662.81,1.41519,1.22256,1.42376,0.73088,0.75991,0.80851,0.43241,1.47093,1.12628,1.50099,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,1720.39,1.40255,1.19444,1.40783,0.78294,0.77963,0.83232,0.45786,1.44393,1.05221,1.47452,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,1778.19,1.39621,1.18915,1.40622,0.77986,0.79448,0.83906,0.46613,1.41227,1.01553,1.47127,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,1835.91,1.38095,1.16156,1.39999,0.77436,0.75274,0.81835,0.44236,1.46221,1.09428,1.47732,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,1893.41,1.35864,1.13628,1.38753,0.74843,0.77416,0.81926,0.45274,1.44165,1.0549,1.47152,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,1950.81,1.34668,1.12585,1.37581,0.778,0.78158,0.84718,0.46796,1.42348,0.99509,1.45938,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,2008.47,1.33102,1.08687,1.36664,0.75871,0.80628,0.84937,0.47451,1.41152,1.00987,1.45606,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,2066.06,1.31704,1.08856,1.35709,0.78328,0.79997,0.85616,0.48727,1.4094,0.97005,1.43373,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,2123.67,1.30698,1.06816,1.35156,0.78888,0.82635,0.86371,0.49114,1.41872,0.95743,1.45098,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,2181.21,1.2941,1.03121,1.34327,0.82061,0.79115,0.87509,0.50207,1.40623,0.93724,1.45368,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,2238.87,1.27708,1.02838,1.32865,0.79781,0.8285,0.86919,0.49691,1.39677,0.93241,1.45902,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,2296.63,1.25584,1.00777,1.31153,0.77623,0.81176,0.85695,0.48474,1.4011,0.94646,1.45663,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,2353.99,1.25044,0.98985,1.31588,0.79859,0.8373,0.87317,0.50057,1.38349,0.90503,1.44415,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,2413.47,1.23395,0.88419,1.32741,0.79837,0.80696,0.86265,0.49662,1.37376,0.91809,1.43963,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,2470.57,1.19694,0.83498,1.30214,0.7902,0.82366,0.86693,0.49837,1.36256,0.88103,1.4436,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,2527.77,1.17995,0.81578,1.29281,0.80083,0.82255,0.87019,0.50123,1.37368,0.88805,1.44683,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,2585.38,1.15523,0.80011,1.28105,0.81468,0.8048,0.86918,0.5031,1.36518,0.87456,1.44494,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
